,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"1,250,000 ₪",אברבנאל,"דירה, קרית חיים מערבית, חיפה",קרקע,70,none,"קומות בבנין
2","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,737500,none,none,"690,000",none,none,none,580000,none,none,800000,895250,none
1,1,"1,250,000 ₪",אברבנאל,"דירה, קרית חיים מערבית, חיפה",קרקע,70,,,,,,,,,,,,,,,,0,0,0,none,737500,none,none,"690,000",none,none,none,580000,none,none,800000,895250,none
2,2,"1,790,000 ₪",אבשלום,"דירה, כרמליה, חיפה",2,95,,,,,,,,,,,,,,,,0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
3,3,"1,530,000 ₪",אורן 1,"דירה, רמת בן גוריון, חיפה",9,90,,,,,,,,,,,,,,,,0,0,0,766250,730000,817150,932866,941666,1100000,1053250,1105000,1072209,1077000,1056000,1029680,1095924,1205000
4,4,"1,250,000 ₪",אורן 35,"דירה, רמת בן גוריון, חיפה",6,57,none,"קומות בבנין
11","חניות
ללא",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",1,0,0,"650,000",none,none,none,"960,000","1,150,000",946000,1075000,none,none,890000,772500,none,1270000
5,5,"1,030,000 ₪",אחוה,"דירה, קרית אליהו, חיפה",4,65,"מרפסות
2","קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,400000,463333,451752,471000,616468,623750,757500,"820,000",694000,"710,000",none,644333,867500,1005000
6,6,"1,330,000 ₪",אחוה,"דירה, קרית אליהו, חיפה",3,75,,,,,,,,,,,,,,,,0,0,0,400000,463333,451752,471000,616468,623750,757500,"820,000",694000,"710,000",none,644333,867500,1005000
7,7,"829,000 ₪",אחוה,"דירה, קרית אליהו, חיפה",4,65,,,,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,,,0,0,0,400000,463333,451752,471000,616468,623750,757500,"820,000",694000,"710,000",none,644333,867500,1005000
8,8,"2,150,000 ₪",אחוזה,"דירה, אחוזה, חיפה",2,93,"מרפסות
1","קומות בבנין
4","חניות
2",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,9,"2,590,000 ₪",אחוזה,"דירה, אחוזה, חיפה",9,99,"מרפסות
1","קומות בבנין
12","חניות
1",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,10,"1,745,000 ₪",אחוזה,"דירה, אחוזה, חיפה",3,83,none,"קומות בבנין
3","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,11,"1,490,000 ₪",אילנות,"דירה, כרמל מערבי, חיפה",2,80,,,,,,,,,,,,,,,,0,0,0,812500,"1,050,000",1095000,"1,235,000",none,none,none,none,none,none,"1,300,000",1458333,1395000,none
