,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"4,300,000 ₪",אבן אבא,"דירה, קרית הלאום, ירושלים", '5', '100', 'מרפסות\n1', 'קומות בבנין\n7', 'חניות\n1',1,0,1,0,1,1,0,1,0,0, 'מצב הנכס\nחדש מקבלן', 'תאריך כניסה\nכניסה מיידית',1,0,0,none,none,none,3195000,"2,920,000",none,none,none,"2,136,000",2105000,none,2945833,3350000,none
1,1,"3,975,000 ₪",אבן אבא,"דירה, קרית הלאום, ירושלים", '1', '91', 'מרפסות\n1', 'קומות בבנין\n6', 'חניות\n1',1,0,1,1,1,1,0,1,1,0, 'מצב הנכס\nחדש מקבלן', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,none,3195000,"2,920,000",none,none,none,"2,136,000",2105000,none,2945833,3350000,none
2,2,"3,650,000 ₪",אבן אבא,"דירה, קרית הלאום, ירושלים", '5', '79', 'מרפסות\n1', 'קומות בבנין\n10', 'חניות\n1',1,0,1,0,1,1,1,0,0,0, 'מצב הנכס\nחדש מקבלן', 'תאריך כניסה\nכניסה מיידית',0,0,0,none,none,none,3195000,"2,920,000",none,none,none,"2,136,000",2105000,none,2945833,3350000,none
3,3,"3,790,000 ₪",אבן אבא,"דירה, קרית הלאום, ירושלים", 'קרקע', '82', 'מרפסות\n1', 'קומות בבנין\n8', 'חניות\n1',0,0,1,1,1,1,1,1,0,0, 'מצב הנכס\nחדש מקבלן', 'תאריך כניסה\nכניסה גמישה',0,0,0,none,none,none,3195000,"2,920,000",none,none,none,"2,136,000",2105000,none,2945833,3350000,none
4,4,"3,350,000 ₪",אברבנאל,"דירה, רחביה, ירושלים", 'קרקע', '67', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan', 'nan',0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
5,5,"3,300,000 ₪",אגריפס,"דירה, מחנה יהודה - לב העיר, ירושלים", '2', '83', 'מרפסות\n1', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,0,0,1268750,1775000,1941666,2185000,1857500,1251250,"1,700,000","2,480,000",none,none,none,1700403,3432333,none
6,6,"1,890,000 ₪",אגריפס,"דירה, מחנה יהודה - לב העיר, ירושלים", '3', '125', 'none', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,1,0,0,0,0,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה מיידית',0,0,0,1268750,1775000,1941666,2185000,1857500,1251250,"1,700,000","2,480,000",none,none,none,1700403,3432333,none
7,7,"1,850,000 ₪",אדם,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים", '3', '70', 'none', 'קומות בבנין\n3', 'חניות\nללא',1,0,0,1,0,0,1,0,1,1, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',1,0,0,961027,1019601,1013333,1096944,1139062,1226666,1245073,1271000,1312500,none,1373333,1470900,1609166,none
8,8,"1,990,000 ₪",אדם 43,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים", '1', '69', 'none', 'קומות בבנין\n3', 'חניות\nללא',1,0,0,1,0,0,0,1,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,0,0,961027,1019601,1013333,1096944,1139062,1226666,1245073,1271000,1312500,none,1373333,1470900,1609166,none
9,9,"1,950,000 ₪",אדם 612,"דירה, ארמון הנציב, תלפיות מזרח, ירושלים", '1', '65', 'none', 'קומות בבנין\n3', 'חניות\nללא',1,1,0,0,0,0,0,1,0,0, 'מצב הנכס\nבמצב שמור', 'תאריך כניסה\nכניסה גמישה',0,0,0,961027,1019601,1013333,1096944,1139062,1226666,1245073,1271000,1312500,none,1373333,1470900,1609166,none
