,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"2,000,000 ₪",בארי 1,"דירה, צפון מזרח מרכז העיר, נתניה",6,70.0,none,"קומות בבנין
6","חניות
ללא",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,1120000,1230000,none,none,none,none,none,none
1,1,"2,390,000 ₪",בארי 34,"דירה, צפון מזרח מרכז העיר, נתניה",קרקע,78,none,"קומות בבנין
5","חניות
1",1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,"880,000",none,none,none,none,none,none,none,none,none,none,none,none
2,2,"2,350,000 ₪",ביאליק,"דירה, צפון מערב מרכז העיר, נתניה",3,90,none,"קומות בבנין
3","חניות
1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
15/12/2023",0,0,0,990000,586666,"1,050,000",none,none,none,none,1671111,1650000,1517666,1775000,1879166,1870000,none
3,3,"1,780,000 ₪",בלפור 1,"דירה, פרדס הגדוד, נתניה",1,39.0,"מרפסות
1","קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,1530000,none
4,4,"2,000,000 ₪",בן אבי 39,"דירה, מרכז העיר דרום, נתניה",2,90,none,"קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,"1,450,000","1,170,000",none,"1,150,000",1515000,1725000,none,1200000,none,1495000,none,none
5,5,"2,190,000 ₪",בנימין 48,"דירה, מרכז העיר דרום, נתניה",1,48.0,none,"קומות בבנין
4","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,"810,000",none,none,none,none,1100000,1212500,none,none,1350000,1470000,none,none
6,6,"2,050,000 ₪",בנימין 57,"דירה, מרכז העיר דרום, נתניה",4,68.0,none,"קומות בבנין
7","חניות
ללא",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,1290000,none,1650000,none
7,7,"2,600,000 ₪",בנימין 80,"דירה, נוף הטיילת, נתניה",1,80.0,"מרפסות
3","קומות בבנין
9","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,1690000,1600000,none,none
8,8,"2,750,000 ₪",בנימין בני,"דירה, גלי הים, נתניה",2,100,"מרפסות
1","קומות בבנין
14","חניות
1",1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",1,0,0,none,1270000,none,"1,360,000",1444000,none,1410546,none,1755000,1790000,1700000,1770000,none,none
9,9,"1,990,000 ₪",ברודצקי אשר,"דירה, מרכז העיר דרום, נתניה",3,75,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
