,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"1,750,000 ₪",איכילוב,"דירה, לב המושבה / מרכז העיר, פתח תקווה",3,80,"מרפסות
1","קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
1,1,לא צוין מחיר,אלתרמן 12,"דירה, קרית אליעזר פרי, פתח תקווה",1,65,,,,,,,,,,,,,,,,0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
2,2,"1,950,000 ₪",ביאליק,"דירה, מחנה יהודה, פתח תקווה",3,80,none,"קומות בבנין
3","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,841250,none,"830,000","1,000,000",1187500,1225000,"1,400,000","1,200,000",1500000,1287500,1537500,1488125,1781277,1870000
3,3,"2,000,000 ₪",בילו,"דירה, פתח תקווה",1,80,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
4,4,"1,850,000 ₪",בלפור 8,"דירה, המרכז השקט / מרכז העיר, פתח תקווה",3,68,none,"קומות בבנין
3","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,1395000,none,none,none
5,5,"1,820,000 ₪",בנימיני אמיר,"דירה, עין גנים, פתח תקווה",2,70,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,"1,150,000",none,1300000,1200000,1307000,1290000,1255833,none,none
6,6,"1,795,000 ₪",בנימיני אמיר 3,"דירה, עין גנים, פתח תקווה",2,62,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,1200000,1290000,none,none,none
7,7,"2,170,000 ₪",ברנר,"דירה, יוספטל, פתח תקווה",7,92,none,"קומות בבנין
9","חניות
1",0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
01/11/2023",0,0,0,"400,000","544,000",504666,"650,000",none,735000,none,none,950000,854800,1050000,892388,1222607,1565000
8,8,"1,650,000 ₪",ברנר,"דירה, יוספטל, פתח תקווה",3,58,none,"קומות בבנין
3","חניות
ללא",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה גמישה",0,0,0,"400,000","544,000",504666,"650,000",none,735000,none,none,950000,854800,1050000,892388,1222607,1565000
9,9,"1,670,000 ₪",ברנר 1,"דירה, יוספטל, פתח תקווה",3,44,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,1050000,none,1455000,none
10,10,"1,770,000 ₪",ברנר 25,"דירה, יוספטל, פתח תקווה",3,44,none,"קומות בבנין
3","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,900000,none,1060000,none,none
11,11,"1,690,000 ₪",ברנר 25,"דירה, יוספטל, פתח תקווה",1,44,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,900000,none,1060000,none,none
12,12,"2,450,000 ₪",גדרה,"דירה, הדר המושבות הותיקה / אם המושבות הותיקה, פתח תקווה",4,70,"מרפסות
1","קומות בבנין
5","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
01/08/2023",0,0,0,"1,015,000",none,1207500,"1,320,000","1,360,000",1505000,"1,625,000",none,none,1721666,none,1695000,797500,none
13,13,"1,600,000 ₪",גרשון אגרון,"דירה, תקומה / קרית חזני, פתח תקווה",2,65,none,"קומות בבנין
3","חניות
1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
01/07/2023",0,0,0,642500,none,none,"900,000",829333,995000,none,none,1120000,1380000,none,1170000,1567500,none
14,14,"1,889,000 ₪",הגרא,"דירה, קרית הרב סלומון, פתח תקווה",2,80,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,1300000,none,1225000,1390000,none,none
15,15,"2,100,000 ₪",הגרא 16,"דירה, קרית הרב סלומון, פתח תקווה",3,70,"מרפסות
1","קומות בבנין
6","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,1460000,none,none
16,16,"1,990,000 ₪",הדר גנים,"דירה, הדר גנים, פתח תקווה",1,72,none,"קומות בבנין
5","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
17,17,"1,610,000 ₪",ההגנה,"דירה, לב המושבה / מרכז העיר, פתח תקווה",4,60,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,800000,772500,797500,930183,975000,990000,none,1100000,1180000,1254000,1015416,1275208,1447357,1685000
18,18,"1,640,000 ₪",ההגנה 12,"דירה, לב המושבה / מרכז העיר, פתח תקווה",2,60,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,"880,000",none,"1,220,000",1110000,1290000,1120000,1235000,1175000,none
19,19,"2,080,000 ₪",הוז דב,"דירה, כפר גנים א, פתח תקווה",2,90,"מרפסות
1","קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
15/11/2023",0,0,0,none,none,none,none,none,none,none,none,none,1470000,none,1492222,1560000,none
20,20,לא צוין מחיר,הזוהר,"דירה, מחנה יהודה, פתח תקווה",3,77,none,"קומות בבנין
3","חניות
1",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,"750,000",none,none,none,none,none,none,"1,245,000",none,1529000,1620000,1685000,none
21,21,"2,050,000 ₪",הירקונים,"דירה, פתח תקווה",3,74,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
15/08/2023",0,0,0,none,none,"920,000",none,none,"1,225,000",none,none,none,1410000,1590000,1650000,2020000,none
22,22,"1,820,000 ₪",המורים 1,"דירה, לב המושבה / מרכז העיר, פתח תקווה",1,85,none,"קומות בבנין
4","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,"1,021,021",none,none,none,none,none,1540000,none,1630000,none
23,23,"2,330,000 ₪",המושבות המושבות הותיקה הותיקה הדר אם,"דירה, הדר המושבות הותיקה / אם המושבות הותיקה, פתח תקווה",2,80,"מרפסות
1","קומות בבנין
6","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
24,24,"2,450,000 ₪",המושבות המושבות הותיקה הותיקה הדר אם,"דירה, הדר המושבות הותיקה / אם המושבות הותיקה, פתח תקווה",2,83,"מרפסות
1","קומות בבנין
3","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
25,25,"2,700,000 ₪",המושבות המושבות החדשה החדשה הדר אם,"דירה, הדר המושבות החדשה / אם המושבות החדשה, פתח תקווה",2,93,"מרפסות
1","קומות בבנין
9","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
26,26,"1,850,000 ₪",המכבים,"דירה, לב המושבה / מרכז העיר, פתח תקווה",4,70,"מרפסות
1","קומות בבנין
14","חניות
1",0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
27,27,"1,790,000 ₪",המכבים,"דירה, שיפר, פתח תקווה",2,68,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,"מצב הנכס
במצב שמור","תאריך כניסה
31/08/2023",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
