,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"1,920,000 ₪",אברמוביץ,"דירה, אברמוביץ', ראשון לציון",1,75,,,,,,,,,,,,,,,,0,0,0,995000,"990,000",1024333,1112500,1120000,1305000,"1,500,000",1472500,1518929,1478625,1495000,1497916,1785000,930000
1,1,"1,730,000 ₪",אברמוביץ,"דירה, אברמוביץ', ראשון לציון",2,80,none,"קומות בבנין
4","חניות
ללא",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,995000,"990,000",1024333,1112500,1120000,1305000,"1,500,000",1472500,1518929,1478625,1495000,1497916,1785000,930000
2,2,"2,300,000 ₪",אברמוביץ,"דירה, אברמוביץ', ראשון לציון",2,105,none,"קומות בבנין
8","חניות
1",1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,995000,"990,000",1024333,1112500,1120000,1305000,"1,500,000",1472500,1518929,1478625,1495000,1497916,1785000,930000
3,3,"2,090,000 ₪",אברמוביץ,"דירה, אברמוביץ', ראשון לציון",1,85,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,995000,"990,000",1024333,1112500,1120000,1305000,"1,500,000",1472500,1518929,1478625,1495000,1497916,1785000,930000
4,4,"1,830,000 ₪",אברמוביץ,"דירה, אברמוביץ', ראשון לציון",1,85,none,"קומות בבנין
3","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה גמישה",0,0,0,995000,"990,000",1024333,1112500,1120000,1305000,"1,500,000",1472500,1518929,1478625,1495000,1497916,1785000,930000
5,5,"1,930,000 ₪",אברמוביץ,"דירה, אברמוביץ', ראשון לציון",2,70,,,,,,,,,,,,,,,,0,0,0,995000,"990,000",1024333,1112500,1120000,1305000,"1,500,000",1472500,1518929,1478625,1495000,1497916,1785000,930000
6,6,"2,100,000 ₪",אושה 5,"דירה, קרית גנים, ראשון לציון",3,63,"מרפסות
1","קומות בבנין
3","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,"1,000,000",none,none,none,none,none,none,1530000,none,none,none,none
7,7,"1,770,000 ₪",אנילביץ,"דירה, רמת אליהו, ראשון לציון",2,60,"מרפסות
1","קומות בבנין
2","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,"660,000",633750,none,755145,none,855000,1116666,1004012,910000,1173437,1230468,1385357,1466000,2000000
8,8,"2,060,000 ₪",אריאב,"דירה, רמת אליהו, ראשון לציון",3,52,none,"קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
9,9,"1,990,000 ₪",אריאב,"דירה, רמת אליהו, ראשון לציון",4,55,none,"קומות בבנין
4","חניות
ללא",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
10,10,"1,900,000 ₪",אריאב,"דירה, רמת אליהו, ראשון לציון",3,52,none,"קומות בבנין
4","חניות
ללא",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
11,11,"2,300,000 ₪",אריאב 12,"דירה, רמת אליהו, ראשון לציון",2,60,none,"קומות בבנין
5","חניות
ללא",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,"תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
12,12,"2,220,000 ₪",ביתר 3,"דירה, אברמוביץ', ראשון לציון",1,63,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,786250,1003236,905000,907500,none,none,"1,200,000",none,none,none,none,none,none,none
13,13,"2,040,000 ₪",בן אריה אליעזר,"דירה, רמז, מערב ותיק, ראשון לציון",4,85,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,"1,200,000",none,none,none,none,none
14,14,"1,670,000 ₪",ברנדיס,"דירה, רמב""ם, ראשון לציון",4,68,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,840000,"870,000","705,000",847500,none,"1,000,000",1046666,"515,868",1415000,1351666,1458095,989500,1472500,none
15,15,"2,460,000 ₪",גבעתי 1,"דירה, רמב""ם, ראשון לציון",5,77,"מרפסות
1","קומות בבנין
9","חניות
1",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,"1,665,000",none,none,none
16,16,"1,850,000 ₪",גיסין 11,"דירה, אברמוביץ', ראשון לציון",3,74,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,"1,040,000",none,none,none,none,none,none,none,1450000,none,none,none,none
17,17,לא צוין מחיר,גשר,"דירה, קרית גנים, ראשון לציון",4,75,"מרפסות
1","קומות בבנין
7","חניות
1",1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,1015000,none,1141666,"1,140,000",1117006,none,none,none,none,none,none,none,1726666,none
18,18,"1,610,000 ₪",דוד אלרואי,"דירה, רמב""ם, ראשון לציון",4,60,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
דרוש שיפוץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,"396,536",none,"1,400,000",none,none,none
19,19,"1,800,000 ₪",דוד אלרואי,"דירה, רמב""ם, ראשון לציון",3,65,none,"קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה מיידית",0,0,0,none,none,none,none,none,none,none,none,"396,536",none,"1,400,000",none,none,none
20,20,"2,395,000 ₪",דותן דודו,"דירה, ראשון לציון",5,75,"מרפסות
1","קומות בבנין
24","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
21,21,"2,395,000 ₪",דותן דודו,"דירה, ראשון לציון",5,75,,,,,,,,,,,,,,,,0,0,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none
22,22,"1,790,000 ₪",דרור,"דירה, רמב""ם, ראשון לציון",2,75,none,"קומות בבנין
7","חניות
1",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה גמישה",0,0,0,810909,876681,943151,973680,1064062,1092778,1216870,1162500,1367100,1307478,1332112,1484590,1429388,1922000
23,23,"2,090,000 ₪",דרור,"דירה, ראשון לציון",6,80,"מרפסות
2","קומות בבנין
7","חניות
1",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,"מצב הנכס
חדש","תאריך כניסה
כניסה מיידית",0,0,0,810909,876681,943151,973680,1064062,1092778,1216870,1162500,1367100,1307478,1332112,1484590,1429388,1922000
24,24,"2,550,000 ₪",דרור 17,"דירה, רמב""ם, ראשון לציון",2,96,"מרפסות
1","קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,"מצב הנכס
חדש","תאריך כניסה
כניסה גמישה",0,0,0,none,none,none,1226666,"1,350,000","1,369,000",none,none,none,none,none,none,none,none
25,25,"1,800,000 ₪",דרור 27,"דירה, רמב""ם, ראשון לציון",2,62,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,"940,000","870,000",950000,none,"1,100,000",1295000,none,none,1440000,none,none,none,none
26,26,"1,930,000 ₪",דרור 27,"דירה, רמב""ם, ראשון לציון",4,62,"מרפסות
1","קומות בבנין
4","חניות
1",1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,none,"940,000","870,000",950000,none,"1,100,000",1295000,none,none,1440000,none,none,none,none
27,27,"1,890,000 ₪",דרור 4,"דירה, רמב""ם, ראשון לציון",4,68,none,"קומות בבנין
4","חניות
ללא",1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,"737,500",none,"950,000",none,none,950450,none,none,1301300,none,1326000,1510000,none,none
