,Unnamed: 0,prices,streets,cities,floors,sizes,terraces,floors_in_building,parkings,aircondition,bars,elevators,water_headers,accessibility,shelters,renovated,storages,tadiran,furnitures,status,time_enter,sea_view,sukka,construction_evacuation,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0,0,"2,850,000 ₪",אדירים 1,"דירה, נווה שרת, תל אביב יפו",3,45,"מרפסות
1","קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,1,none,1082500,none,"1,329,067",none,none,none,none,none,none,none,910000,none,none
1,1,"4,850,000 ₪",אוסישקין,"דירה, הצפון הישן - צפון, תל אביב יפו",1,78,none,"קומות בבנין
5","חניות
1",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,"2,208,831",2108000,2365000,"2,600,000",2150000,"3,728,000","1,970,000",none,3983333,none,none,3866500,1881666,none
2,2,"3,850,000 ₪",אחימאיר אבא,"דירה, רמת אביב ג', תל אביב יפו",7,68,none,"קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0,0,"1,800,000","1,700,000","2,373,333","1,960,000",2150000,"2,450,000",none,"2,650,000","2,750,000","3,675,850",none,4697088,none,none
3,3,"3,950,000 ₪",אחימאיר אבא,"דירה, רמת אביב ג', תל אביב יפו",2,68,none,"קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
01/07/2023",0,0,0,"1,800,000","1,700,000","2,373,333","1,960,000",2150000,"2,450,000",none,"2,650,000","2,750,000","3,675,850",none,4697088,none,none
4,4,"3,850,000 ₪",אחימאיר אבא,,7,68,none,"קומות בבנין
8","חניות
1",1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",1,0,0,"1,800,000","1,700,000","2,373,333","1,960,000",2150000,"2,450,000",none,"2,650,000","2,750,000","3,675,850",none,4697088,none,none
5,5,"3,583,500 ₪",איגר 14,"דירה, נווה שאנן, תל אביב יפו",1,67,"מרפסות
1","קומות בבנין
6","חניות
1",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,"1,585,000",none,none,none,none,none,none,none
6,6,"4,000,000 ₪",איגר 14,"דירה, נווה שאנן, תל אביב יפו",5,70,"מרפסות
1","קומות בבנין
6","חניות
1",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
לא צוין תאריך כניסה",0,0,0,none,none,none,none,none,none,"1,585,000",none,none,none,none,none,none,none
7,7,"2,800,000 ₪",אינשטין 14,"דירה, תכנית ל', למד, תל אביב יפו",2,76,"מרפסות
1","קומות בבנין
12","חניות
1",1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
חדש מקבלן","תאריך כניסה
כניסה גמישה",0,0,0,"1,650,000",none,none,none,1980285,none,none,none,none,none,none,none,3778700,none
8,8,"3,780,000 ₪",אלחריזי,"דירה, הצפון הישן - צפון, תל אביב יפו",2,68,none,"קומות בבנין
3","חניות
ללא",1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"מצב הנכס
במצב שמור","תאריך כניסה
כניסה מיידית",0,0,0,1452500,none,none,2148090,"1,925,000","3,350,000","3,220,000",none,none,none,none,3765000,none,none
9,9,"3,900,000 ₪",אלחריזי,"דירה, הצפון הישן - צפון, תל אביב יפו",1,62,"מרפסות
1","קומות בבנין
4","חניות
ללא",1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"מצב הנכס
משופץ","תאריך כניסה
כניסה גמישה",0,0,0,1452500,none,none,2148090,"1,925,000","3,350,000","3,220,000",none,none,none,none,3765000,none,none
