,sale_day,city,adress,floor,size,price
0,09.08.2025,אשדוד,הרב קוק 31, ,65,"1,450,000"
1,21.03.2023,אשדוד,נורדאו 20,שישית,94,"2,065,000"
2,15.03.2023,אשדוד,ארן זלמן 7,ראשונה,61.3,"1,900,000"
3,12.03.2023,אשדוד, ,חמישית,75,"2,070,000"
4,12.03.2023,אשדוד,הרב קוק 13,שביעית,60,"1,500,000"
5,08.03.2023,אשדוד,המלך יותם 2,ראשונה,54.59,"1,600,000"
6,05.03.2023,אשדוד,שבי ציון 29,ראשונה,80,"900,000"
7,28.02.2023,אשדוד,החרצית 6,שניה,64.3,"1,680,000"
8,28.02.2023,אשדוד,המעפילים 1,ראשונה,63.43,"1,490,000"
9,26.02.2023,אשדוד,חטיבת גולני 1,שלישית,85,"1,440,000"
10,26.02.2023,אשדוד,הכלנית 36,ראשונה,62.8,"1,726,000"
11,23.02.2023,אשדוד,הרב קוק 13,שביעית,60,"1,500,000"
12,22.02.2023,אשדוד,הדמומית 6,חמישית,75,"1,566,000"
13,22.02.2023,אשדוד,הפרחים 21,חמישית,73,"1,571,000"
14,21.02.2023,אשדוד,הדמומית 6,חמישית,75,"1,661,000"
15,20.02.2023,אשדוד,הרב שאולי 21,שלישית,60.4,"2,000,000"
16,19.02.2023,אשדוד,הדמומית 6,חמישית,75,"1,525,000"
17,19.02.2023,אשדוד,עוזיהו 11,ראשונה,63.5,"326,000"
18,19.02.2023,אשדוד,שבזי 3,שניה,64.24,"715,000"
19,16.02.2023,אשדוד,יאיר 11,רביעית,65.71,"1,510,000"
20,16.02.2023,אשדוד, ,שלישית,75,"2,050,000"
21,15.02.2023,אשדוד,סנש חנה 9,שלישית,52,"1,560,000"
22,15.02.2023,אשדוד,הר כנען 16,ראשונה,66.24,"1,630,000"
23,14.02.2023,אשדוד,הדמומית 6,חמישית,75,"1,656,000"
24,14.02.2023,אשדוד,הרב אבוחצירה 5,שניה,60.2,"593,000"
25,13.02.2023,אשדוד, ,רביעית,75,"2,075,000"
