,sale_day,city,adress,floor,size,price
0,20.10.2024,באר שבע,תדהר 2, ,83,"1,200,000"
1,22.03.2023,באר שבע,וינגייט 3,קרקע,51.50,"910,000"
2,19.03.2023,באר שבע,מבצע קילשון 6,רביעית,62.90,"730,000"
3,17.03.2023,באר שבע,שלומציון 4,רביעית,62,"600,000"
4,17.03.2023,באר שבע,צביה המלכה 5,ראשונה,67.20,"1,040,000"
5,16.03.2023,באר שבע,סרן דב 11,שביעית,67,"1,165,000"
6,16.03.2023,באר שבע,ישראל גלילי 24,חמישית,73,"1,225,000"
7,16.03.2023,באר שבע,קלאוזנר 2,ראשונה,43.40,"378,000"
8,14.03.2023,באר שבע,בודנהיימר 18,חמישית,77,"1,215,000"
9,14.03.2023,באר שבע,ייבין יהושע 8,שלישית,74.80,"900,000"
10,14.03.2023,באר שבע,קפריסין 32,עשירית,80,"1,380,000"
11,13.03.2023,באר שבע,מרווה 3,שלישית,80,"1,318,000"
12,12.03.2023,באר שבע,מבצע נחשון 48,קרקע,71,"900,000"
13,09.03.2023,באר שבע,אליהו הנביא 28,שניה,40.40,"450,000"
14,09.03.2023,באר שבע,הרב הרצוג 41,שניה,64.60,"850,000"
15,09.03.2023,באר שבע,תדהר 1,ראשונה,82,"1,345,000"
16,08.03.2023,באר שבע,בני אור 60,רביעית,66.80,"835,000"
17,07.03.2023,באר שבע,"רש""י 25",ראשונה,50.60,"198,000"
18,06.03.2023,באר שבע,גרוסמן מאיר 4,שניה,69.77,"1,040,000"
19,05.03.2023,באר שבע,הערים התואמות 22,רביעית,70,"1,260,000"
20,05.03.2023,באר שבע,שיטרית 7,רביעית,61.20,"717,000"
21,05.03.2023,באר שבע,ליבנה 7,שלישית,82,"1,350,000"
22,05.03.2023,באר שבע,מרווה 1,שמינית,80,"806,000"
23,02.03.2023,באר שבע,מבצע עובדה 62,רביעית,57.70,"587,000"
24,02.03.2023,באר שבע,מבצע נחשון 20,קרקע,74,"795,000"
25,02.03.2023,באר שבע,השלום 92,שניה,59.60,"750,000"
26,01.03.2023,באר שבע,השלום 92,שלישית,59.60,"730,000"
27,28.02.2023,באר שבע,הוברמן 4,קרקע,43.10,"1,300,000"
