,sale_day,city,adress,floor,size,price
0,23.03.2023,בני ברק,שמעון הצדיק 11,ראשונה,64,"2,000,000"
1,21.03.2023,בני ברק,הרב קוק 43,א,61,"2,315,000"
2,19.03.2023,בני ברק,נויפלד 11,ראשונה,66.39,"2,020,000"
3,16.03.2023,בני ברק,חגי 17,רביעית,75,"1,800,000"
4,15.03.2023,בני ברק,גניחובסקי 24,ראשונה,58.34,"1,970,000"
5,15.03.2023,בני ברק, ,ראשונה,63,"2,000,000"
6,14.03.2023,בני ברק,בן זכאי 35,ראשונה,70,"1,250,000"
7,12.03.2023,בני ברק,אבו חצירא ישראל 2,שביעית,48,"1,650,000"
8,09.03.2023,בני ברק, ,שישית,84,"2,166,000"
9,05.03.2023,בני ברק,המכבים 68,רביעית,57.10,"2,180,000"
10,05.03.2023,בני ברק,הרב שר 8,ראשונה,58,"1,845,000"
11,05.03.2023,בני ברק,הוז דב 25,ג,52.28,"609,999"
12,05.03.2023,בני ברק, ,שישית,85,"2,090,000"
13,01.03.2023,בני ברק, ,שניה,84,"1,193,000"
14,01.03.2023,בני ברק,שמואל הנביא 7,שניה,55,"1,720,000"
15,01.03.2023,בני ברק,גבורי ישראל 15,שישית,66,"1,620,000"
16,28.02.2023,בני ברק,המכבים 69,רביעית,35.90,"2,130,000"
17,28.02.2023,בני ברק,הרב קוק 6,שניה,61,"1,900,000"
18,28.02.2023,בני ברק,הרב דסלר 12,שלישית,60.50,"3,180,000"
19,26.02.2023,בני ברק, ,שביעית,84,"1,212,000"
20,26.02.2023,בני ברק,אברבנאל 98,שלישית,72,"1,800,000"
21,23.02.2023,בני ברק,יהושע 30,א,46.80,"2,155,000"
22,23.02.2023,בני ברק,המכבים 85,ראשונה,45.80,"1,755,000"
23,22.02.2023,בני ברק,גרונר 23,ראשונה,68,"1,756,000"
24,21.02.2023,בני ברק,אמרי חיים 14,קומה 3,67.33,"2,250,000"
25,21.02.2023,בני ברק, ,מרתף -1,63.79,"1,900,000"
26,20.02.2023,בני ברק,צבי 11,ראשונה,66.50,"3,000,000"
27,19.02.2023,בני ברק,קובלסקי 9,שלישית,65.77,"2,220,000"
28,19.02.2023,בני ברק,המכבים 85,שניה,45.80,"1,905,000"
29,19.02.2023,בני ברק,המכבים 85,ראשונה,45.80,"2,106,000"
30,19.02.2023,בני ברק,חזון איש 22,ג,63,"3,300,000"
31,18.02.2023,בני ברק,המכבים 85,שלישית,75,"1,905,983"
32,16.02.2023,בני ברק,ירושלים 62,ד,48,"2,100,000"
33,16.02.2023,בני ברק,פוקס אהרון דב 10,א,52,"1,866,000"
34,16.02.2023,בני ברק,חשב סופר 17,ראשונה,87.10,"3,000,000"
35,14.02.2023,בני ברק,החלוצים 21,ג,58,"740,899"
36,13.02.2023,בני ברק,השר אלון יגאל 14,שלישית,63.80,"1,800,000"
37,12.02.2023,בני ברק,רבי עקיבא 95,ב,52,"2,065,000"
38,12.02.2023,בני ברק,וולפסון 20,א,69,"2,280,000"
39,09.02.2023,בני ברק, ,שניה,71,"1,125,000"
40,09.02.2023,בני ברק,אבן גבירול 8,חמישית,68.40,"2,810,000"
41,08.02.2023,בני ברק,אביעד 1,שלישית,53.20,"2,250,000"
42,08.02.2023,בני ברק,הרב מצליח 6,רביעית,58.34,"2,150,000"
43,07.02.2023,בני ברק,בית יוסף 5,קומה 4,69.61,"2,092,000"
44,07.02.2023,בני ברק, ,חמישית,84,"2,280,000"
45,06.02.2023,בני ברק,"הגר""א 9",שלישית,54,"1,800,000"
46,05.02.2023,בני ברק, ,שלישית,94,"2,206,000"
47,02.02.2023,בני ברק,הרב יוסף חיים 18,ראשונה,48.10,"2,000,000"
48,02.02.2023,בני ברק,הרב סורוצקין 1,שלישית,62,"3,300,000"
49,01.02.2023,בני ברק,"ראב""ד 4",שלישית,63,"2,250,000"
50,31.01.2023,בני ברק,סוקולוב 34,חמישית,58.77,"2,050,000"
51,31.01.2023,בני ברק,הרב יוסף חיים 8,ראשונה,48.10,"436,000"
52,30.01.2023,בני ברק,הרב מצליח 12,שניה,58.34,"1,700,000"
53,30.01.2023,בני ברק,דון יוסף הנשיא 6,ב,39,"2,292,000"
54,29.01.2023,בני ברק,דנגור 18,רביעית,57.60,"3,500,000"
55,26.01.2023,בני ברק,"רשב""ם 13",ב,62,"748,611"
56,25.01.2023,בני ברק,בן זכאי 13,א,53,"750,000"
57,25.01.2023,בני ברק,המכבים 85,ראשונה,45.80,"1,555,000"
58,25.01.2023,בני ברק,עמרם גאון 5,ראשונה,50.60,"600,000"
59,24.01.2023,בני ברק,המכבים 85, ,68,"1,555,983"
60,24.01.2023,בני ברק, ,שלישית,68,"2,050,000"
61,24.01.2023,בני ברק, ,רביעית,84,"2,280,000"
62,23.01.2023,בני ברק,שמעון הצדיק 11,שניה,63,"1,950,000"
63,23.01.2023,בני ברק,רבי עקיבא 96,ב,65.28,"1,900,000"
64,22.01.2023,בני ברק,בגין מנחם 8,ראשונה,75,"689,000"
65,21.01.2023,בני ברק,בן יוסף שלמה 3,שלישית,49,"3,600,000"
66,20.01.2023,בני ברק,בגין מנחם 12,קרקע,58.80,"1,767,000"
67,20.01.2023,בני ברק,השר אלון יגאל 14,שניה,67.10,"2,280,000"
68,18.01.2023,בני ברק,בר כוכבא 11,ראשונה,58.37,"2,000,000"
69,18.01.2023,בני ברק,עבודת ישראל 5,ב,63,"1,482,000"
70,17.01.2023,בני ברק,בגנו משה 24,ראשונה,78.40,"1,965,000"
71,17.01.2023,בני ברק,גבורי ישראל 15,חמישית,74,"1,940,000"
72,17.01.2023,בני ברק, ,שלישית,75,"1,090,000"
73,16.01.2023,בני ברק,"האדמו""ר מקוצק 22",ראשונה,68,"2,000,000"
