,sale_day,city,adress,floor,size,price
0,21.03.2023,חיפה,בורלא יהודה 15,רביעית,62.70,"1,170,000"
1,21.03.2023,חיפה,פבזנר 60,שניה,69,"1,150,000"
2,21.03.2023,חיפה, ,שניה,87.55,"1,050,000"
3,16.03.2023,חיפה,אלמוג 10,שלישית,85,"1,710,000"
4,12.03.2023,חיפה,פרץ מרקיש 14,שניה,57.40,"960,000"
5,12.03.2023,חיפה,נווה גנים 11,ראשונה,55,"1,115,000"
6,07.03.2023,חיפה,אלמוג 10,שביעית,109,"1,690,000"
7,03.03.2023,חיפה,ניסנבוים 4,שבע עשרה,61.50,"1,000,000"
8,01.03.2023,חיפה,יותם 41,שניה,72.16,"1,795,000"
9,01.03.2023,חיפה,משה חיים שפירא 53,קרקע,55.10,"1,000,000"
10,28.02.2023,חיפה,אלמוג 10,שישית,85,"1,770,000"
11,28.02.2023,חיפה,מוריה 72, ,77,"2,160,000"
12,27.02.2023,חיפה,סילבר אבא הלל 113,שניה,70,"1,050,000"
13,26.02.2023,חיפה,ז'ורס 2,שלישית,60.61,"1,100,000"
14,26.02.2023,חיפה,קדושי דמשק 13,שלישית,70.10,"1,200,000"
15,26.02.2023,חיפה,טרומפלדור 1,ראשונה,72,"1,300,000"
16,26.02.2023,חיפה,שונמית 6,שלישית,58.77,"980,000"
17,25.02.2023,חיפה,קרן קיימת לישראל 24,ראשונה,53.40,"406,666"
18,25.02.2023,חיפה,מרסיי 9, ,74,"1,315,000"
19,23.02.2023,חיפה,פיכמן יעקב 18,שביעית,48,"965,000"
20,22.02.2023,חיפה,שבטי ישראל 16,שניה,66.39,"900,000"
21,22.02.2023,חיפה,יד לבנים 87,קרקע,67.10,"1,035,000"
22,22.02.2023,חיפה,פיכמן יעקב 18, ,48,"965,000"
23,21.02.2023,חיפה,בשור 1,שביעית,47.20,"670,000"
24,19.02.2023,חיפה,הבסטיליה 10,ראשונה,59,"950,000"
25,17.02.2023,חיפה,דרייפוס 18,חמישית,66.25,"1,100,000"
26,17.02.2023,חיפה,"בודנהיימר מקס ד""ר 31",שביעית,57.50,"980,000"
27,15.02.2023,חיפה,הרותם 9,רביעית,56.70,"1,440,000"
28,15.02.2023,חיפה,תל אביב 30,שלישית,62,"1,185,000"
29,15.02.2023,חיפה,הנטקה 43,חמישית,83.28,"1,383,000"
30,15.02.2023,חיפה,סילבר אבא הלל 58,שישית,60,"970,000"
31,14.02.2023,חיפה,הפרחים 11,שישית,61.21,"1,280,000"
32,14.02.2023,חיפה,יותם 45,שלישית,81,"2,000,000"
33,14.02.2023,חיפה,"נעמ""ת 1",קרקע,47.45,"970,000"
34,14.02.2023,חיפה,סמולנסקין 22,שניה,77,"1,951,000"
35,13.02.2023,חיפה,חורב 60,ראשונה,70.60,"1,980,000"
36,13.02.2023,חיפה,סמולנסקין 22,שניה,77,"1,951,100"
37,13.02.2023,חיפה,שמשון 19, ,81,"2,000,000"
38,13.02.2023,חיפה,אוליפנט 1,רביעית,56.88,"1,360,000"
39,12.02.2023,חיפה,קורצ'אק יאנוש 8,שניה,55.30,"2,187,000"
40,12.02.2023,חיפה,יגור 20,שניה,52.97,"975,000"
41,12.02.2023,חיפה,חנקין 16,ראשונה,55,"550,000"
42,10.02.2023,חיפה,טבריה 17,חמישית,82.30,"1,200,000"
43,10.02.2023,חיפה,קליבנוב 35,שישית,73.30,"1,000,000"
44,09.02.2023,חיפה,הגבורים 24,קרקע,50.06,"500,000"
45,09.02.2023,חיפה,עובדיה 25,קרקע,59.50,"900,000"
46,09.02.2023,חיפה,צפת 20,קומה 3,74.88,"890,000"
47,09.02.2023,חיפה,יפתח 3,שניה,57.70,"1,933,000"
48,08.02.2023,חיפה,הפרטיזנים 4,שלישית,56.90,"1,150,000"
49,08.02.2023,חיפה,ישעיהו 16,שישית,60.90,"1,220,000"
50,08.02.2023,חיפה,אהבת ציון 2,ראשונה,53.72,"800,000"
51,08.02.2023,חיפה,בצלאל 15, ,88,"1,077,000"
52,08.02.2023,חיפה,הפרחים 11,שביעית,61.30,"1,260,000"
53,07.02.2023,חיפה,חרמון 12,שניה,63.73,"960,000"
54,06.02.2023,חיפה,טבריה 12,קרקע,65.30,"1,000,000"
55,06.02.2023,חיפה,סמולנסקין 22,חמישית,71,"1,860,000"
56,06.02.2023,חיפה,אירביד 3,ראשונה,87,"1,740,000"
57,06.02.2023,חיפה,טרומפלדור 24,ראשונה,68.50,"569,999"
58,06.02.2023,חיפה,מוריה 16,שלישית,72,"1,890,000"
59,05.02.2023,חיפה,"מח""ל 33",ראשונה,42,"525,000"
60,05.02.2023,חיפה,סמולנסקין 22,חמישית,71,"1,860,000"
61,03.02.2023,חיפה,תענך 17,שלישית,42.80,"680,000"
62,02.02.2023,חיפה,הרותם 19,שלישית,60.90,"1,360,000"
63,02.02.2023,חיפה,חורב 3,שניה,70.50,"1,550,000"
