,sale_day,city,adress,floor,size,price
0,19.03.2023,חולון,ההסתדרות 209,שניה,43.83,"1,545,000"
1,16.03.2023,חולון,השילוח 15,שלישית,73,"1,850,000"
2,16.03.2023,חולון,מעלות 8,ראשונה,57,"1,760,000"
3,13.03.2023,חולון,הגליל 2,שניה,49.60,"1,500,000"
4,12.03.2023,חולון,אפעל 4,שלישית,75,"1,778,000"
5,08.03.2023,חולון,בן יהודה 14,קומה 6,76.50,"2,800,000"
6,06.03.2023,חולון,מסילת העולים 15,שלישית,49.50,"713,000"
7,05.03.2023,חולון,התותחנים 1,שלישית,51,"1,550,000"
8,01.03.2023,חולון,ההסתדרות 191,ראשונה,59.71,"600,000"
9,28.02.2023,חולון,העבודה 12,שלישית,54.80,"840,000"
10,26.02.2023,חולון,השופטים 27,שלישית,59,"2,600,000"
11,26.02.2023,חולון,השילוח 15,שניה,73,"1,187,000"
12,22.02.2023,חולון,"אלופי צה""ל 18",שלישית,70.43,"900,000"
13,15.02.2023,חולון,"אצ""ל 24",שלישית,49.90,"3,146,000"
14,15.02.2023,חולון,"אצ""ל 20",שלישית,49.90,"3,021,000"
15,15.02.2023,חולון,ההסתדרות 103,שניה,63.92,"1,000,000"
16,08.02.2023,חולון,הערבה 33,ראשונה,48.30,"1,700,000"
17,07.02.2023,חולון,ארן זלמן 59,שניה,62.57,"1,840,000"
18,07.02.2023,חולון,רופין 20,ראשונה,52.10,"1,845,000"
19,06.02.2023,חולון,אילת 80,רביעית,42.15,"1,145,000"
20,02.02.2023,חולון,מסילת העולים 5,שניה,62.70,"1,650,000"
21,31.01.2023,חולון,שנקר 39,תשיעית,67.50,"1,900,000"
22,30.01.2023,חולון,בן גוריון 40,שניה,63,"1,890,000"
23,29.01.2023,חולון,אלעזר דוד 7,ראשונה,61,"2,420,000"
24,29.01.2023,חולון,אהרונוביץ 32,ראשונה,74,"2,250,000"
25,28.01.2023,חולון,אלעזר דוד 7,ראשונה,61,"2,420,000"
26,25.01.2023,חולון,אילת 44,ראשונה,61.62,"1,825,000"
27,25.01.2023,חולון,המעפילים 61,שניה,50.50,"1,272,000"
28,25.01.2023,חולון,מעלות 22,שניה,57.70,"1,700,000"
29,22.01.2023,חולון,אילת 32,שמינית,78.95,"1,970,000"
30,22.01.2023,חולון, ,עשירית,76,"2,505,000"
31,21.01.2023,חולון, ,עשירית,76,"2,500,000"
32,19.01.2023,חולון,חנקין 17,שלישית,64.05,"2,300,000"
33,17.01.2023,חולון,חנקין 43,שישית,84,"2,460,000"
34,17.01.2023,חולון,רמת הגולן 11,שניה,52,"563,000"
35,17.01.2023,חולון,בן יהודה 14,קומה 6,76.50,"2,590,000"
36,16.01.2023,חולון, ,שישית,76,"2,375,000"
37,15.01.2023,חולון, ,שישית,76,"2,370,000"
38,14.01.2023,חולון,השילוח 14,שניה,66,"600,000"
39,12.01.2023,חולון,קרן קיימת 5,ראשונה,73,"1,550,000"
40,12.01.2023,חולון,התחיה 28,שלישית,78.23,"975,000"
41,11.01.2023,חולון,קרן קיימת 5,רביעית,73,"1,550,000"
42,11.01.2023,חולון,אוסישקין 1,שניה,77,"2,100,000"
43,11.01.2023,חולון,המתמיד 4,חמישית,72,"2,000,000"
44,11.01.2023,חולון,השחף 4,קרקע,77.40,"1,927,000"
45,10.01.2023,חולון,"אלופי צה""ל 18",רביעית,77.10,"1,850,000"
46,10.01.2023,חולון,גרינבוים 7,שישית,62,"2,500,000"
47,10.01.2023,חולון,מקוה ישראל 6,רביעית,50,"1,805,000"
48,10.01.2023,חולון,המתמיד 4, ,72,"2,000,000"
49,09.01.2023,חולון,אביבים 1,ראשונה,49.60,"650,000"
50,09.01.2023,חולון,"אצ""ל 18",ראשונה,61.88,"2,000,000"
51,09.01.2023,חולון,ראש פנה 4,שניה,63.92,"1,900,000"
52,08.01.2023,חולון,הגליל 3,ראשונה,49.30,"900,000"
53,05.01.2023,חולון,התחיה 11,שלישית,65.66,"850,500"
54,02.01.2023,חולון,ה' באייר 3,שניה,47.50,"1,500,000"
55,30.12.2022,חולון, ,שביעית,76,"2,405,000"
56,29.12.2022,חולון, ,רביעית,61.30,"1,870,000"
57,29.12.2022,חולון,ארלוזורוב 101,ראשונה,55,"2,140,000"
58,28.12.2022,חולון,סוקולוב 129,ראשונה,59.31,"1,520,000"
59,28.12.2022,חולון,קדושי קהיר 11,שלישית,64.80,"1,900,000"
60,28.12.2022,חולון,הגלעד 6,ראשונה,50,"590,000"
61,27.12.2022,חולון,אהרונוביץ 66,רביעית,43,"1,650,000"
62,27.12.2022,חולון,העבודה 12,שלישית,54.90,"830,000"
63,26.12.2022,חולון,ארבע ארצות 21,שלישית,71.20,"1,610,000"
64,25.12.2022,חולון,פיכמן 7,שלישית,61,"3,442,000"
65,25.12.2022,חולון,אלעזר דוד 4,ראשונה,67.36,"2,080,000"
66,22.12.2022,חולון,פיארברג 16,שלישית,80,"1,720,000"
67,21.12.2022,חולון,חנקין 88,ראשונה,65.25,"1,960,000"
68,20.12.2022,חולון,הוז דב 62,שניה,60.60,"1,755,000"
69,20.12.2022,חולון,מוהליבר 31,שניה,65.25,"2,275,000"
70,19.12.2022,חולון,"אלופי צה""ל 1",שביעית,65.30,"1,750,000"
71,19.12.2022,חולון,שער הגיא 18,ראשונה,55.34,"1,730,000"
72,19.12.2022,חולון,החשמונאים 32,שניה,57,"1,300,000"
73,18.12.2022,חולון,קפאח 37,שניה,56.83,"1,680,000"
74,15.12.2022,חולון,"הגר""א 28",שלישית,61.60,"1,600,000"
75,14.12.2022,חולון,הבקעה 15,שלישית,73,"1,875,000"
76,14.12.2022,חולון, ,שלישית,59.15,"1,720,000"
77,13.12.2022,חולון,ברזביל 12,ראשונה,50.50,"1,850,000"
78,13.12.2022,חולון,אילת 66,שניה,55.90,"1,870,000"
79,13.12.2022,חולון, ,תשיעית,76,"2,455,000"
80,12.12.2022,חולון, ,תשיעית,76,"2,450,000"
81,11.12.2022,חולון,מגידו 7,שלישית,61,"1,870,000"
82,11.12.2022,חולון, ,אחת עשרה,76,"2,335,000"
83,11.12.2022,חולון,מגידו 7,שניה,61,"750,000"
84,10.12.2022,חולון, ,רביעית,76,"2,330,000"
85,10.12.2022,חולון, ,ארבע עשרה,76,"2,550,000"
86,10.12.2022,חולון, ,אחת עשרה,76,"2,530,000"
87,08.12.2022,חולון,גוש עציון 7,ראשונה,75.11,"1,950,000"
88,08.12.2022,חולון, ,שמינית,76,"2,435,000"
