,sale_day,city,adress,floor,size,price
0,17.11.2025,ירושלים, , ,73,"2,900,000"
1,21.03.2023,ירושלים,חביב חיים 1,שניה,34,"1,750,000"
2,21.03.2023,ירושלים,הארזים 15,רביעית,60.60,"1,477,000"
3,20.03.2023,ירושלים,הארזים 15,שניה,66.50,"1,437,000"
4,19.03.2023,ירושלים,המזלות 41,שניה,70.30,"2,000,000"
5,19.03.2023,ירושלים,ברזיל 10,תשיעית,45,"1,925,000"
6,16.03.2023,ירושלים,פיק חיים 6,רביעית,39,"1,761,000"
7,13.03.2023,ירושלים,חטיבת הראל 101,שלישית,37.60,"1,256,000"
8,12.03.2023,ירושלים,השופט חיים כהן 16,ראשונה,83,"3,750,000"
9,09.03.2023,ירושלים,גואטמאלה 25,חמישית,51.65,"2,020,000"
10,09.03.2023,ירושלים,הנורית 10,שלישית,54.50,"671,000"
11,02.03.2023,ירושלים,בנימין מטודלה 15,שלישית,47,"1,900,000"
12,02.03.2023,ירושלים, ,שניה,87,"2,082,000"
13,01.03.2023,ירושלים,מעגלות הרב פרדס 37,תשיעית,61.90,"1,675,000"
14,28.02.2023,ירושלים, ,רביעית,82,"1,619,000"
15,27.02.2023,ירושלים, ,שמונה עשרה,70,"2,404,000"
16,26.02.2023,ירושלים,נוה יעקב 23,שניה,56.40,"2,065,000"
17,26.02.2023,ירושלים,אלטמן אריה 26,ראשונה,63.30,"1,780,000"
18,26.02.2023,ירושלים, ,חמישית,57,"1,885,000"
19,23.02.2023,ירושלים,ישראל אלדד 27,קומה 1,86.60,"2,820,000"
20,23.02.2023,ירושלים,סולם יעקב 9,שניה,63.80,"1,915,000"
21,23.02.2023,ירושלים,קמחי דב 1,ראשונה,61,"2,775,000"
22,23.02.2023,ירושלים,פיק חיים 6,שלישית,76,"2,646,000"
23,23.02.2023,ירושלים,אפרתה 23,שניה,80,"3,006,000"
24,22.02.2023,ירושלים,גרונר דב 9,חמישית,56,"1,795,000"
25,22.02.2023,ירושלים,תלמודי אברהם 12,ראשונה,44,"3,200,000"
26,22.02.2023,ירושלים, ,שניה,97,"1,911,000"
27,21.02.2023,ירושלים,קול משה 45,רביעית,71.05,"2,875,000"
28,21.02.2023,ירושלים, ,שניה,53,"2,300,000"
29,20.02.2023,ירושלים,המאירי 19,שלישית,66,"2,550,000"
30,20.02.2023,ירושלים,פלג אדמונד 2,קרקע,59.10,"788,000"
31,20.02.2023,ירושלים,שלום יהודה 18,ראשונה,75,"2,000,000"
32,20.02.2023,ירושלים,שטרן אברהם 43,שמינית,61,"1,090,000"
33,19.02.2023,ירושלים,הגננת 240,שלישית,72.80,"1,830,000"
34,19.02.2023,ירושלים,מרגלית 31,שלישית,62.40,"2,000,000"
35,19.02.2023,ירושלים,מרגלית 304,שלישית,63.90,"1,707,000"
36,19.02.2023,ירושלים,גואטמאלה 3,אחת עשרה,77,"1,111,000"
37,19.02.2023,ירושלים,הארבעה 11,קרקע,77.29,"1,875,000"
38,16.02.2023,ירושלים, ,שניה,82,"1,613,000"
39,16.02.2023,ירושלים, ,חמישית,89,"3,660,000"
40,15.02.2023,ירושלים,נופך 8,קרקע,66.50,"1,250,000"
41,15.02.2023,ירושלים, ,שניה,87,"2,024,000"
42,14.02.2023,ירושלים,חטיבת הראל 110,חמישית,45.10,"632,500"
43,12.02.2023,ירושלים,בן יוסף שלמה 23,רביעית,70,"1,740,000"
44,12.02.2023,ירושלים,כץ מיכל 4,קומה 4,69.40,"2,600,000"
45,12.02.2023,ירושלים,הארבעה 18,רביעית,75,"1,950,000"
46,12.02.2023,ירושלים,קנאי הגליל 9,קרקע,87,"2,500,000"
47,11.02.2023,ירושלים, ,רביעית,87,"1,719,031"
48,10.02.2023,ירושלים,שטרן אברהם 27,רביעית,67,"2,200,000"
49,10.02.2023,ירושלים,החסידה 9,ראשונה,74.40,"1,940,000"
50,10.02.2023,ירושלים,רבינוביץ אהרון 24,קרקע,67,"3,000,000"
51,09.02.2023,ירושלים,גדוד חרמש 14,שלישית,59,"1,820,000"
52,09.02.2023,ירושלים, ,חמישית,56,"2,055,000"
53,09.02.2023,ירושלים, ,ראשונה,95,"2,775,000"
54,09.02.2023,ירושלים,המאירי 19,שלישית,66,"2,500,000"
55,08.02.2023,ירושלים, ,שלישית,83,"1,636,000"
56,07.02.2023,ירושלים,הרב צדקה חוצ'ין 9,שניה,67.40,"1,970,000"
57,07.02.2023,ירושלים, ,חמישית,102,"1,881,000"
58,07.02.2023,ירושלים,"מח""ל 14",קומה 1,97,"3,730,000"
59,07.02.2023,ירושלים,אלטמן אריה 18,שלישית,65.30,"1,440,000"
60,07.02.2023,ירושלים,שוני הלכות 2,ראשונה,58,"1,950,000"
61,06.02.2023,ירושלים,שלום יהודה 10,קרקע,69,"2,300,000"
62,06.02.2023,ירושלים,נקר מאיר 47,שלישית,62,"1,720,000"
63,06.02.2023,ירושלים,נטף 1,שלישית,50.30,"1,830,000"
64,06.02.2023,ירושלים,בן יוסף שלמה 14,שניה,65,"645,000"
65,06.02.2023,ירושלים,תורה מציון 17,חמישית,75,"1,669,000"
66,05.02.2023,ירושלים,פארן 7,שלישית,79.50,"2,500,000"
67,02.02.2023,ירושלים,קדיש לוז 20,שישית,64.10,"2,175,000"
68,02.02.2023,ירושלים,צוקרמן ברוך 10,רביעית,57.10,"1,900,000"
69,02.02.2023,ירושלים,מורגנטאו הנרי 46,ראשונה,84,"3,560,000"
70,02.02.2023,ירושלים,בן ציון 20,רביעית,72,"2,870,000"
71,02.02.2023,ירושלים,הברון הירש 16,מרתף -1,82,"2,725,000"
72,02.02.2023,ירושלים,דיסקין 9,שמינית,96,"3,764,000"
73,01.02.2023,ירושלים,הרב עוזיאל 58,ראשונה,60,"2,670,000"
74,01.02.2023,ירושלים,תבין אלי 22,ראשונה,82,"1,915,000"
75,01.02.2023,ירושלים,צפניה 22,ראשונה,62,"4,100,000"
76,01.02.2023,ירושלים,האחות יהודית 235,שניה,61.42,"1,800,000"
77,01.02.2023,ירושלים, ,שביעית,63,"1,850,000"
78,01.02.2023,ירושלים,הנביאים 26,שניה,78,"2,600,000"
79,01.02.2023,ירושלים,הרב עוזיאל 80,שניה,65,"2,600,000"
80,31.01.2023,ירושלים,בר יוחאי 7,שלישית,52.90,"2,180,000"
81,31.01.2023,ירושלים,ברל לוקר 27,שלישית,64,"2,320,000"
82,31.01.2023,ירושלים,בית וגן 2, ,69,"1,895,000"
83,30.01.2023,ירושלים,קולומביה 6,תשיעית,51.50,"1,735,000"
84,30.01.2023,ירושלים,אגמון 3,ראשונה,59,"780,000"
85,30.01.2023,ירושלים,לוי אשכול 2,רביעית,84.20,"3,391,000"
86,30.01.2023,ירושלים, ,שניה,80,"1,581,000"
87,30.01.2023,ירושלים,נטר 125,רביעית,68,"2,980,000"
88,29.01.2023,ירושלים,קולומביה 10,שביעית,47.80,"1,760,000"
89,29.01.2023,ירושלים, ,שלישית,102,"1,674,000"
90,29.01.2023,ירושלים, ,שבע עשרה,84,"2,505,000"
91,29.01.2023,ירושלים,הרב הרצוג 79,שניה,51.24,"2,750,000"
92,28.01.2023,ירושלים, ,שבע עשרה,76,"2,525,980"
93,28.01.2023,ירושלים, ,אחת עשרה,84,"2,655,000"
94,28.01.2023,ירושלים, ,ארבע עשרה,76,"2,495,000"
95,27.01.2023,ירושלים,שמעיה 2,ראשונה,80,"2,200,000"
96,26.01.2023,ירושלים,חקלאי זאב 4,שניה,55,"2,180,000"
97,26.01.2023,ירושלים,פרנקפורטר פליקס 19,ראשונה,58.90,"2,730,000"
98,26.01.2023,ירושלים, ,חמישית,84,"2,468,000"
99,26.01.2023,ירושלים,סורוצקין 37,שישית,69,"3,200,000"
100,26.01.2023,ירושלים, ,"מרתף -1, קומה 0",39.90,"2,000,000"
101,26.01.2023,ירושלים,מאה שערים 11,קרקע,54,"1,890,000"
102,25.01.2023,ירושלים,יוסטמן משה 104,ראשונה,65.80,"1,845,000"
103,25.01.2023,ירושלים,תורה מציון 17,רביעית,90,"1,859,000"
104,25.01.2023,ירושלים, ,רביעית,86,"1,841,000"
105,25.01.2023,ירושלים, ,שלישית,80,"1,586,000"
106,25.01.2023,ירושלים,עוזיה 8,קרקע,61.70,"3,020,000"
107,25.01.2023,ירושלים, ,שש עשרה,84,"2,795,000"
108,25.01.2023,ירושלים,הסיירת הירושלמית 8,רביעית,76,"1,850,000"
109,25.01.2023,ירושלים,רפפורט 22,שניה,62,"2,300,000"
110,24.01.2023,ירושלים, ,רביעית,80,"1,842,000"
111,24.01.2023,ירושלים, ,ראשונה,80,"1,117,000"
112,24.01.2023,ירושלים, ,חמישית,82,"2,835,000"
113,24.01.2023,ירושלים,שלום עליכם 7,שניה,80,"1,800,000"
114,24.01.2023,ירושלים,טללים 10,שניה,64.60,"550,000"
115,24.01.2023,ירושלים,הנורית 20,שמינית,49.10,"1,675,000"
116,24.01.2023,ירושלים, ,שש עשרה,84,"2,785,000"
117,23.01.2023,ירושלים,סולם יעקב 22,שלישית,59.10,"2,340,000"
118,23.01.2023,ירושלים, ,רביעית,83,"1,894,000"
119,23.01.2023,ירושלים, ,עשירית,58,"1,945,000"
120,23.01.2023,ירושלים,איג אלכסנדר 126,שניה,63,"2,360,000"
121,23.01.2023,ירושלים, ,שישית,87,"1,857,000"
122,23.01.2023,ירושלים, ,שלישית,81,"2,730,000"
123,23.01.2023,ירושלים,"שח""ל 56",שלישית,59,"1,890,000"
124,23.01.2023,ירושלים,מורגנטאו הנרי 12,קרקע,74.50,"859,999"
125,23.01.2023,ירושלים,מזל תאומים 1,שלישית,57,"1,950,000"
126,23.01.2023,ירושלים,בוליביה 14,שלישית,66.10,"1,740,000"
127,22.01.2023,ירושלים,תורה מציון 17,רביעית,85,"1,872,000"
128,22.01.2023,ירושלים,גרשון מאיר 41,חמישית,78,"1,770,000"
129,22.01.2023,ירושלים,"הל""ה 30",חמישית,86,"4,100,000"
130,22.01.2023,ירושלים, ,חמישית,83,"1,644,000"
131,22.01.2023,ירושלים, ,אחת עשרה,56,"2,145,000"
132,22.01.2023,ירושלים,בר גיורא 9,קרקע,55.20,"2,600,000"
133,22.01.2023,ירושלים,אביטל 15,שלישית,85,"3,177,000"
134,22.01.2023,ירושלים, ,שלישית,81,"2,730,000"
135,22.01.2023,ירושלים,בוליביה 14,עשירית,70,"2,370,000"
136,20.01.2023,ירושלים,האחות זלמה 41,שניה,59.10,"2,440,000"
137,20.01.2023,ירושלים,סולם יעקב 22,רביעית,58.80,"2,260,000"
138,19.01.2023,ירושלים,"החי""ל 7",חמישית,94.50,"2,550,000"
139,19.01.2023,ירושלים, ,אחת עשרה,81,"2,810,000"
140,18.01.2023,ירושלים,שושנה 17,קרקע,58,"2,552,000"
141,18.01.2023,ירושלים,הפורצים 19,רביעית,60,"2,330,000"
142,18.01.2023,ירושלים,יוסי בן יועזר 12,ראשונה,35.84,"1,917,000"
143,18.01.2023,ירושלים, ,אחת עשרה,81,"2,810,000"
144,18.01.2023,ירושלים, ,חמישית,80,"1,594,000"
145,18.01.2023,ירושלים,שאדיקר נחום 12,שניה,70,"1,500,000"
146,18.01.2023,ירושלים, ,שישית,94,"3,500,000"
147,17.01.2023,ירושלים,פאול פרנקל 5,קרקע,79.60,"1,250,000"
