,sale_day,city,adress,floor,size,price
0,20.03.2023,נתניה,קרן היסוד 18,חמישית,69,"1,580,000"
1,15.03.2023,נתניה,הרב הרטום שמואל 22,ראשונה,68.72,"1,950,000"
2,15.03.2023,נתניה,בר יוחאי 7,ראשונה,47.10,"1,250,000"
3,14.03.2023,נתניה,בן צבי 89,קומה 9,63.74,"1,750,000"
4,13.03.2023,נתניה,הנשר 5,שניה,81.20,"1,700,000"
5,12.03.2023,נתניה,לבון פנחס 19,ראשונה,61.10,"1,580,000"
6,05.03.2023,נתניה,לבונטין 13,שלישית,73.50,"1,900,000"
7,05.03.2023,נתניה,מוצקין 21,שמינית,59,"1,570,000"
8,02.03.2023,נתניה,פרישמן 4,שניה,61.78,"1,335,000"
9,01.03.2023,נתניה,סמילנסקי 64,ראשונה,74.30,"1,830,000"
10,01.03.2023,נתניה, ,עשרים ואחת,92,"2,129,000"
11,27.02.2023,נתניה,מוצקין 15,ראשונה,62.17,"1,540,000"
12,27.02.2023,נתניה,סלומון יואל 5,שניה,56.38,"825,000"
13,26.02.2023,נתניה, ,שמינית,80,"2,370,000"
14,23.02.2023,נתניה,בנימין 63,ראשונה,87.22,"1,950,000"
15,23.02.2023,נתניה,ז'בוטינסקי 30,שלישית,62.50,"2,000,000"
16,23.02.2023,נתניה,ז'בוטינסקי 30,רביעית,62.50,"2,100,000"
17,22.02.2023,נתניה,יהודה הלוי 25,שלישית,65.62,"1,720,000"
18,22.02.2023,נתניה,יוחנן הסנדלר 10,שלישית,40.74,"527,000"
19,21.02.2023,נתניה,שיטרית 9,ראשונה,44,"1,800,000"
20,20.02.2023,נתניה,גולדה מאיר 36,תשיעית,86.50,"1,850,000"
21,20.02.2023,נתניה,יהודה הלוי 11,רביעית,68,"1,800,000"
22,19.02.2023,נתניה,שלמה המלך 4,שישית,66,"1,600,000"
23,19.02.2023,נתניה, ,עשרים ושלוש,92,"2,167,000"
24,16.02.2023,נתניה,רוטנברג 5,שניה,43,"1,485,000"
25,16.02.2023,נתניה,לוי אשכול 23,ראשונה,63,"1,400,000"
26,15.02.2023,נתניה, ,רביעית,79,"2,144,000"
27,15.02.2023,נתניה, ,רביעית,92,"1,832,000"
28,14.02.2023,נתניה, ,שלוש עשרה,92,"1,905,000"
29,12.02.2023,נתניה,סמילנסקי 23,שישית,80.90,"1,700,000"
30,08.02.2023,נתניה,מוצקין 20,שניה,61.60,"1,630,000"
31,08.02.2023,נתניה,יהודה הלוי 25,ראשונה,66.06,"1,780,000"
32,06.02.2023,נתניה,ויצמן 5,שלישית,51.15,"1,450,000"
33,06.02.2023,נתניה,עגנון 30,חמישית,81,"2,250,000"
34,02.02.2023,נתניה,נורדאו 51,שניה,44,"1,700,000"
35,31.01.2023,נתניה,עגנון 30,שמינית,82,"2,294,000"
36,29.01.2023,נתניה,שפירא אברהם 4,שלישית,71.14,"1,890,000"
37,29.01.2023,נתניה,מלחמת ששת הימים 22,ראשונה,77.88,"652,000"
38,29.01.2023,נתניה,בנימין 18,שלישית,72.70,"1,900,000"
39,26.01.2023,נתניה,"ד""ר אבו שדיד אברהם 3",שניה,70.51,"1,650,000"
40,26.01.2023,נתניה,סמילנסקי 79,רביעית,68,"1,880,000"
41,25.01.2023,נתניה,בלפור 11,שלישית,49.60,"2,070,000"
42,25.01.2023,נתניה,אירוס הארגמן 61,ראשונה,91.50,"2,230,000"
43,24.01.2023,נתניה,אבן עזרא 31,שניה,69.70,"2,150,000"
44,23.01.2023,נתניה,דיזנגוף 30,אחת עשרה,87,"3,050,000"
45,23.01.2023,נתניה, ,עשירית,82,"2,298,000"
46,22.01.2023,נתניה, ,שניה,51,"1,600,000"
47,22.01.2023,נתניה, ,עשירית,82,"2,293,000"
48,19.01.2023,נתניה,אוסישקין 32,שניה,76.50,"1,800,000"
49,19.01.2023,נתניה, ,ראשונה,110,"2,110,000"
50,18.01.2023,נתניה, ,שביעית,80,"2,310,000"
51,18.01.2023,נתניה, ,ראשונה,87,"2,110,000"
52,17.01.2023,נתניה, ,שלישית,87,"2,000,000"
53,17.01.2023,נתניה, ,שביעית,80,"2,310,000"
54,17.01.2023,נתניה,יהודה הנשיא 27,שלישית,57,"1,818,000"
55,17.01.2023,נתניה, ,תשיעית,92,"1,887,000"
56,17.01.2023,נתניה, ,אחת עשרה,82,"2,277,000"
57,16.01.2023,נתניה,בן צבי 62,ראשונה,58.19,"1,640,000"
58,16.01.2023,נתניה, ,תשיעית,82,"2,277,000"
59,16.01.2023,נתניה, ,אחת עשרה,82,"2,271,600"
60,15.01.2023,נתניה, ,תשיעית,82,"2,271,600"
61,12.01.2023,נתניה,קורצ'ק יאנוש 17,שניה,68,"1,700,000"
62,12.01.2023,נתניה,הרב הרטום שמואל 12,שניה,71.10,"1,152,000"
63,12.01.2023,נתניה,תחכמוני 2,שישית,68,"1,940,000"
64,11.01.2023,נתניה, ,שניה,87,"2,130,000"
65,11.01.2023,נתניה, ,שביעית,80,"2,300,000"
66,11.01.2023,נתניה,גרינבוים 39,שניה,67.58,"1,685,000"
67,10.01.2023,נתניה,נורדאו 6,ראשונה,62.55,"1,750,000"
68,10.01.2023,נתניה, ,חמישית,80,"2,159,000"
69,10.01.2023,נתניה,גליקסון 37,שלישית,62.50,"417,000"
70,10.01.2023,נתניה, ,שביעית,80,"2,300,000"
71,10.01.2023,נתניה,פינס 8,שלישית,74,"1,240,000"
72,09.01.2023,נתניה,הגולן 8,שישית,69,"2,065,000"
73,09.01.2023,נתניה,אנטוורפן 22,ראשונה,67.31,"1,740,000"
74,09.01.2023,נתניה,בן חנן יצחק 1,רביעית,63.80,"1,220,000"
75,09.01.2023,נתניה, ,שמינית,79,"2,159,000"
76,05.01.2023,נתניה,הפורצים 8,שניה+שלישית,79,"2,150,000"
77,05.01.2023,נתניה,ויצמן 86, ,79,"2,050,000"
78,05.01.2023,נתניה, ,רביעית,87,"2,314,000"
79,04.01.2023,נתניה, ,רביעית,87,"2,314,000"
80,04.01.2023,נתניה,לבון פנחס 14,שלישית,61.50,"1,520,000"
