,sale_day,city,adress,floor,size,price
0,22.03.2023,פתח תקווה,אחד העם 15,ראשונה,52.41,"1,750,000"
1,13.03.2023,פתח תקווה,מאיר שפיה 3,שביעית,74,"2,450,000"
2,09.03.2023,פתח תקווה,ביאליק 8,ב,50.03,"1,870,000"
3,08.03.2023,פתח תקווה,הרב אונטרמן 9,שישית,65.14,"1,750,000"
4,05.03.2023,פתח תקווה,מינץ בנימין 39,שלישית,54,"656,000"
5,02.03.2023,פתח תקווה,פוגל הרמן 15,שלישית,64.30,"1,875,000"
6,02.03.2023,פתח תקווה, ,ראשונה,80,"2,500,000"
7,28.02.2023,פתח תקווה,שיטרית בכור 12,שלישית,59.20,"1,615,000"
8,27.02.2023,פתח תקווה,"פיק""א 5",א,77.79,"2,050,000"
9,27.02.2023,פתח תקווה,"פיק""א 5",חמישית,72,"2,105,000"
10,23.02.2023,פתח תקווה,האורים 8,שניה,74,"2,675,000"
11,23.02.2023,פתח תקווה,יהודה הלוי 31,שלישית,64.55,"1,770,000"
12,23.02.2023,פתח תקווה,עגנון 2,שישית,89,"2,250,000"
13,23.02.2023,פתח תקווה,פוגל הרמן 10,ראשונה,61.70,"1,750,000"
14,23.02.2023,פתח תקווה,העליה השניה 6,ג,65.80,"1,620,000"
15,22.02.2023,פתח תקווה,רוטשילד 179,שלישית,69.84,"778,300"
16,22.02.2023,פתח תקווה,עגנון 2,תשיעית,85,"2,310,000"
17,22.02.2023,פתח תקווה,"פיק""א 5",רביעית,75,"2,200,000"
18,21.02.2023,פתח תקווה,ההגנה 15,קרקע,54,"1,685,000"
19,20.02.2023,פתח תקווה, ,שישית,72,"2,130,000"
20,19.02.2023,פתח תקווה,הרצל 75,שביעית,66.45,"956,000"
21,16.02.2023,פתח תקווה,וינברגר שמואל 5,חמישית,64.20,"1,860,000"
22,15.02.2023,פתח תקווה,קפלן אליעזר 41,רביעית,81,"2,386,000"
23,14.02.2023,פתח תקווה,שפרינצק 30,ראשונה,67,"100,000"
24,14.02.2023,פתח תקווה,עגנון 2, ,85,"2,310,000"
25,13.02.2023,פתח תקווה,מינץ בנימין 47,ראשונה,69.63,"1,740,000"
26,13.02.2023,פתח תקווה,דורון 4,ב,48,"1,740,000"
27,12.02.2023,פתח תקווה,חפץ חיים 32,א,64.66,"1,790,000"
28,12.02.2023,פתח תקווה,ברנדייס 3,רביעית,64.40,"537,500"
29,12.02.2023,פתח תקווה,כץ מיכל לייב 3,שלישית,75,"2,300,000"
30,12.02.2023,פתח תקווה,קפלן אליעזר 39,חמישית,81,"2,360,000"
31,09.02.2023,פתח תקווה,שפרינצק 36,שניה,67,"1,300,000"
32,09.02.2023,פתח תקווה,רצון מנחם 6,שניה,95,"2,000,000"
33,08.02.2023,פתח תקווה,קהילת פינסק 10,ראשונה,59.20,"1,790,000"
34,08.02.2023,פתח תקווה,שטמפפר יהושע 74,רביעית,79.48,"1,950,000"
35,08.02.2023,פתח תקווה,אברבנאל 1,שישית,71,"935,000"
36,08.02.2023,פתח תקווה,רוטשילד 162,שביעית,100,"2,290,000"
37,07.02.2023,פתח תקווה,הרברט סמואל 6,שישית,61.60,"1,910,000"
38,07.02.2023,פתח תקווה,"פיק""א 28",שניה,70,"2,150,000"
39,07.02.2023,פתח תקווה,"כ""ט בנובמבר 8",קומה 1,65.59,"2,150,000"
40,07.02.2023,פתח תקווה,הולצברג שמחה 12,שלישית,89.30,"2,050,000"
41,07.02.2023,פתח תקווה, ,שביעית,97,"1,192,500"
42,02.02.2023,פתח תקווה,"צה""ל 74",שישית,78,"1,950,000"
43,02.02.2023,פתח תקווה,שפרינצק 2,א,51,"336,000"
44,01.02.2023,פתח תקווה,"צה""ל 74", ,82,"1,950,000"
45,31.01.2023,פתח תקווה,גרין יונה 3,חמישית,68.86,"1,900,000"
46,31.01.2023,פתח תקווה,טבריה 37,שלישית,46.70,"1,760,000"
47,31.01.2023,פתח תקווה,צהל 28,ראשונה,71,"2,596,000"
48,31.01.2023,פתח תקווה,צפת 68,ראשונה,72.90,"1,770,000"
49,30.01.2023,פתח תקווה,מינץ בנימין 27,רביעית,67,"1,715,000"
50,29.01.2023,פתח תקווה,צהל 30,שלישית,71,"2,230,000"
51,29.01.2023,פתח תקווה,הנשיאים 19,שלישית,89.10,"1,868,000"
52,26.01.2023,פתח תקווה,הנביאים 37,ראשונה,56,"212,000"
