,sale_day,city,adress,floor,size,price
0,20.03.2023,ראשון לציון,קאפח 13,עשירית,74.90,"2,225,000"
1,16.03.2023,ראשון לציון,עולי הגרדום 46,שניה,57.96,"1,850,000"
2,14.03.2023,ראשון לציון,הגיתית 14,שישית,67,"2,360,000"
3,14.03.2023,ראשון לציון,הלוטם 8,קרקע,60.50,"1,760,000"
4,13.03.2023,ראשון לציון,יהודה הלוי 72,שלישית,60.70,"1,720,000"
5,08.03.2023,ראשון לציון,נעמן 1,רביעית,62.90,"1,830,000"
6,03.03.2023,ראשון לציון,גולינקין 2,שלישית,47.10,"2,000,000"
7,02.03.2023,ראשון לציון,שפינוזה 10,שניה,65.25,"1,880,000"
8,01.03.2023,ראשון לציון,שיבת ציון 21,חמישית,70.55,"965,000"
9,26.02.2023,ראשון לציון,הצפירה 7,ראשונה,46.20,"1,175,000"
10,23.02.2023,ראשון לציון,מורשת ישראל 12,שניה,65.40,"2,030,000"
11,23.02.2023,ראשון לציון,הצבעוני 11,שניה,65,"666,666"
12,23.02.2023,ראשון לציון,שניאור זלמן 37,שלישית,46.20,"1,950,000"
13,22.02.2023,ראשון לציון,ירושלים 45,ראשונה,63.70,"1,016,000"
14,22.02.2023,ראשון לציון,בצלאל 7,שניה,53,"860,000"
15,21.02.2023,ראשון לציון,החליל 10,ראשונה,65.81,"1,700,000"
16,20.02.2023,ראשון לציון,קדוש השם 25,רביעית,60.71,"1,800,000"
17,19.02.2023,ראשון לציון,קרן קימת לישראל 12,ראשונה,65.25,"900,000"
18,19.02.2023,ראשון לציון,הרב גורן 10,שלישית,77.80,"2,375,000"
19,17.02.2023,ראשון לציון,הרב גורן 11,חמישית,65.40,"680,000"
20,14.02.2023,ראשון לציון,הצופים 4,תשיעית,75.96,"2,470,000"
21,14.02.2023,ראשון לציון, ,רביעית,84,"2,450,000"
22,12.02.2023,ראשון לציון,וולפסון 33,שניה,66.48,"1,680,000"
23,10.02.2023,ראשון לציון,הרצל 93,שישית,52.80,"1,850,000"
24,08.02.2023,ראשון לציון,גולינקין 3,שניה,47.10,"1,850,000"
25,08.02.2023,ראשון לציון,אברמוביץ 9,חמישית,77.25,"930,000"
26,07.02.2023,ראשון לציון,התזמורת 50,שניה,71.50,"1,800,000"
27,05.02.2023,ראשון לציון,משה בן נחמן 9,ראשונה,79.78,"2,850,000"
28,03.02.2023,ראשון לציון,עין הקורא 21,שניה,68.20,"1,350,000"
29,02.02.2023,ראשון לציון,קרן היסוד 19,שלישית,80,"1,810,000"
30,01.02.2023,ראשון לציון,שפינוזה 23,חמישית,60,"1,898,000"
31,31.01.2023,ראשון לציון,הגיתית 2,שלישית,85,"2,645,000"
32,31.01.2023,ראשון לציון,קרל נטר 21,רביעית,60.50,"1,730,000"
33,31.01.2023,ראשון לציון,אלקבץ 1,שישית,65.40,"2,200,000"
34,30.01.2023,ראשון לציון,שפינוזה 14,רביעית,79.21,"2,500,000"
35,29.01.2023,ראשון לציון,התזמורת 2,עשירית,68.68,"2,645,000"
36,24.01.2023,ראשון לציון,שדה נחום 8,שלישית,68,"2,150,000"
37,23.01.2023,ראשון לציון,נעמן 8,רביעית,74.78,"1,880,000"
38,23.01.2023,ראשון לציון,יהודה הלוי 52,שניה,62.10,"1,840,000"
39,23.01.2023,ראשון לציון,שניאור זלמן 14,חמישית,64.10,"1,890,000"
40,23.01.2023,ראשון לציון,הגפן 9,שלישית,72.52,"2,100,000"
41,19.01.2023,ראשון לציון,קרל נטר 10,שלישית,61.81,"900,000"
42,19.01.2023,ראשון לציון,ירושלים 83,שלישית,66.07,"1,900,000"
43,18.01.2023,ראשון לציון,בוגלה יונה 15,ראשונה,73,"2,270,000"
44,16.01.2023,ראשון לציון,בלבן אליעזר 6,קומה 4,72.27,"2,070,000"
45,16.01.2023,ראשון לציון,אנילביץ 19,שניה,75.50,"2,000,000"
46,12.01.2023,ראשון לציון,הרב נורוק 2,שניה,36,"1,780,000"
47,12.01.2023,ראשון לציון,יהודה הלוי 10,חמישית,95,"2,540,000"
48,11.01.2023,ראשון לציון,קפלנסקי 39,שלישית,58.87,"1,770,000"
49,11.01.2023,ראשון לציון,סוקולוב 20,רביעית,74,"2,615,000"
50,10.01.2023,ראשון לציון,דרור 60,רביעית,75.89,"1,922,000"
51,10.01.2023,ראשון לציון,ברניצקי נתן 9,רביעית,83.99,"2,000,000"
52,09.01.2023,ראשון לציון,בצלאל 9,ראשונה,62.79,"1,650,000"
53,08.01.2023,ראשון לציון,הנרקיס 22,שביעית,60.90,"1,900,000"
54,08.01.2023,ראשון לציון,הקוקיה 2,שביעית,65.60,"2,100,000"
55,08.01.2023,ראשון לציון,אוסישקין 41,רביעית,61.14,"1,787,000"
56,05.01.2023,ראשון לציון,האיריס 22,שמינית,67.84,"2,170,000"
57,05.01.2023,ראשון לציון,אלתרמן 5,ראשונה,64,"2,450,000"
58,05.01.2023,ראשון לציון,ספינת השלושה 15,ראשונה,77.10,"2,600,000"
59,04.01.2023,ראשון לציון,מעגל השלום 23,חמישית,76,"2,550,000"
60,04.01.2023,ראשון לציון,הכנסת 9,שלישית,46.20,"1,200,000"
61,04.01.2023,ראשון לציון,יהודה 11,ראשונה,70.72,"1,750,000"
62,04.01.2023,ראשון לציון,קרית ספר 19,ראשונה,64.22,"1,860,000"
63,03.01.2023,ראשון לציון,ויגודסקי 8,ראשונה,85.41,"1,770,000"
64,01.01.2023,ראשון לציון,טרכטנברג 28,שלישית,64,"1,720,000"
65,01.01.2023,ראשון לציון,הכנסת 3,שלישית,46.20,"1,103,000"
66,01.01.2023,ראשון לציון,הרצל 93,חמישית,52.80,"1,900,000"
67,30.12.2022,ראשון לציון,קלישר 20,ראשונה,66,"2,360,000"
68,29.12.2022,ראשון לציון,המפוחית 2,רביעית,68.70,"2,365,000"
69,28.12.2022,ראשון לציון,דרור 13,ראשונה,67.43,"1,920,000"
70,27.12.2022,ראשון לציון,החליל 30,ראשונה,67.09,"2,150,000"
71,27.12.2022,ראשון לציון,הירשפלד 25,ראשונה,64.17,"750,000"
72,27.12.2022,ראשון לציון,"תרמ""ב 23",שלישית,77.60,"1,875,000"
73,26.12.2022,ראשון לציון,שרירא שמואל 34,רביעית,63.93,"2,270,000"
74,26.12.2022,ראשון לציון,חיל הרגלים 2,ראשונה,70,"2,370,000"
75,26.12.2022,ראשון לציון, ,שלישית,74,"2,630,000"
76,25.12.2022,ראשון לציון, ,רביעית,70,"2,750,000"
77,25.12.2022,ראשון לציון, ,שניה,82,"2,570,000"
78,25.12.2022,ראשון לציון,אנילביץ 45,שניה,56.50,"1,200,000"
79,23.12.2022,ראשון לציון,הדגן 17,שניה,79.90,"1,755,000"
80,22.12.2022,ראשון לציון,שדה נחום 9,שלישית,68,"2,320,000"
81,22.12.2022,ראשון לציון,יהודה הלוי 70,שלישית,61.36,"800,000"
82,20.12.2022,ראשון לציון,קרון אהרון 22,שלישית,66.70,"1,980,000"
83,18.12.2022,ראשון לציון,הירשפלד 5,ראשונה,60.38,"1,910,000"
84,15.12.2022,ראשון לציון,תל חי 21,ראשונה,60,"1,960,000"
85,15.12.2022,ראשון לציון,שרירא שמואל 34,רביעית,73.10,"2,050,000"
86,15.12.2022,ראשון לציון,הברון הירש 19,קרקע,59.75,"1,820,000"
87,15.12.2022,ראשון לציון,נעמן 1,שניה,62.46,"1,600,000"
88,14.12.2022,ראשון לציון,תורה ועבודה 26,שניה,47.70,"1,850,000"
89,14.12.2022,ראשון לציון,גולינקין 2,רביעית,47.10,"1,850,000"
90,13.12.2022,ראשון לציון,הזורעים 2,שלישית,65,"2,500,000"
91,12.12.2022,ראשון לציון,גולינקין 2,שלישית,47.10,"2,550,000"
92,11.12.2022,ראשון לציון,שוחט מניה 3,רביעית,78.48,"1,900,000"
93,08.12.2022,ראשון לציון,קאפח 3,שתים עשרה,65,"2,336,000"
94,08.12.2022,ראשון לציון,יהודה הלוי 10,רביעית,80,"2,410,000"
95,07.12.2022,ראשון לציון,לוין מיכאל וחנה 2,רביעית,70.68,"1,850,000"
96,05.12.2022,ראשון לציון,תנועות הנוער 3,שניה,69.36,"2,400,000"
97,05.12.2022,ראשון לציון,חלץ 3,חמישית,75,"1,955,000"
98,04.12.2022,ראשון לציון,בלקינד שמשון 3,שביעית,78.88,"1,500,000"
99,04.12.2022,ראשון לציון,"הרשב""א 17",שמינית,65.40,"2,000,000"
100,04.12.2022,ראשון לציון,חלץ 3, ,75,"1,950,000"
101,01.12.2022,ראשון לציון,נורדאו 36,ראשונה,76,"1,940,000"
102,01.12.2022,ראשון לציון,אימבר 6,קרקע,77,"1,990,000"
103,30.11.2022,ראשון לציון,הנופר 22,רביעית,64,"2,130,000"
104,30.11.2022,ראשון לציון,הרצל 44,ראשונה,62.64,"1,600,000"
105,28.11.2022,ראשון לציון,הרב גורן 7,ראשונה,67.33,"2,370,000"
106,28.11.2022,ראשון לציון,בוגלה יונה 13,שניה,63,"2,000,000"
107,27.11.2022,ראשון לציון,רוטשילד 73,שלישית,64,"1,780,000"
108,27.11.2022,ראשון לציון,החליל 30,קרקע,70.16,"2,825,000"
109,23.11.2022,ראשון לציון,פיין בנימין 1,חמישית,81,"2,180,000"
110,22.11.2022,ראשון לציון,אלקלעי 28,שלישית,73,"750,000"
111,20.11.2022,ראשון לציון,הלפרין 7,ראשונה,64.12,"1,840,000"
