,sale_day,city,adress,floor,size,price
0,06.10.2025,תל אביב-יפו,שטריקר 8, ,72,"4,009,000"
1,15.03.2023,תל אביב-יפו,בר-לב חיים 138,רביעית,66.14,"2,150,000"
2,10.03.2023,תל אביב-יפו,שיינקין 23,שניה,64.85,"4,350,000"
3,07.03.2023,תל אביב-יפו,מוסינזון 14,שניה,65,"7,500,000"
4,06.03.2023,תל אביב-יפו,אבידן דוד 15,שלישית,66.35,"3,050,000"
5,02.03.2023,תל אביב-יפו,פיליכובסקי 11,רביעית,66,"4,100,000"
6,01.03.2023,תל אביב-יפו,נרדור 6,שלישית,48.98,"1,840,000"
7,01.03.2023,תל אביב-יפו,בועז 45, ,50,"1,500,000"
8,28.02.2023,תל אביב-יפו,"מזא""ה 18",קרקע,57.62,"3,350,000"
9,27.02.2023,תל אביב-יפו,המאירי אביגדור 17,שניה,83,"3,750,000"
10,23.02.2023,תל אביב-יפו,עירית 18,שישית,67,"2,450,000"
11,22.02.2023,תל אביב-יפו,זכרון יעקב 13,ראשונה,75.20,"5,800,000"
12,22.02.2023,תל אביב-יפו,ליפסקי לואי 18,שישית,92,"8,006,000"
13,21.02.2023,תל אביב-יפו,פינלס 10,רביעית,68,"4,350,000"
14,20.02.2023,תל אביב-יפו,בארט 12,רביעית,54,"2,000,000"
15,19.02.2023,תל אביב-יפו,ארלוזורוב 120,רביעית,68,"4,450,000"
16,19.02.2023,תל אביב-יפו,מעפילי אגוז 33,ראשונה,62.30,"65,000"
17,18.02.2023,תל אביב-יפו,סומקן 15,שניה,73,"1,400,000"
18,16.02.2023,תל אביב-יפו,אלמונית 7,ראשונה,69,"4,670,000"
19,15.02.2023,תל אביב-יפו,ניסן כהן 2,רביעית,84,"4,800,000"
20,14.02.2023,תל אביב-יפו,פנקס 24,מרתף,63.10,"5,632,000"
21,14.02.2023,תל אביב-יפו,משגב עם 14,חמישית,70,"2,700,000"
22,14.02.2023,תל אביב-יפו,המכבי 1,קומה 1,64.41,"3,350,000"
23,08.02.2023,תל אביב-יפו,יגור 16,שניה,56,"3,250,000"
24,08.02.2023,תל אביב-יפו,ארלוזורוב 88,ראשונה,59,"1,290,000"
25,07.02.2023,תל אביב-יפו,פאת השולחן 14,ראשונה,59,"3,020,000"
26,07.02.2023,תל אביב-יפו,התבור 4,ראשונה,75,"5,312,000"
27,07.02.2023,תל אביב-יפו,נוה שאנן 11,שניה,61,"3,070,000"
28,06.02.2023,תל אביב-יפו,הופיין 1,"חמישית,שישית",61,"3,050,000"
29,06.02.2023,תל אביב-יפו,פראג 3,רביעית,62,"5,181,000"
30,02.02.2023,תל אביב-יפו,חולדה 7,שלישית,73,"4,900,000"
31,01.02.2023,תל אביב-יפו,אלוף בצלות 11,שלישית,67,"4,119,000"
32,31.01.2023,תל אביב-יפו,התנאים 24,ראשונה,66.50,"4,520,000"
33,31.01.2023,תל אביב-יפו,גרץ 12,ראשונה,78,"4,320,000"
34,30.01.2023,תל אביב-יפו,ישעיהו ליבוביץ 2,שש עשרה,80,"3,000,000"
35,30.01.2023,תל אביב-יפו,מקוה ישראל 24,ראשונה,61,"4,750,000"
36,29.01.2023,תל אביב-יפו,רוטנשטרייך 26,שניה,62.60,"1,950,000"
37,29.01.2023,תל אביב-יפו,התנאים 20,רביעית,66.50,"7,004,000"
38,29.01.2023,תל אביב-יפו,רח 1184 4,שלושים ושתיים,84,"6,393,000"
39,29.01.2023,תל אביב-יפו,בן סרוק 18,חמישית,79,"5,652,310"
40,29.01.2023,תל אביב-יפו,בן סרוק 20, ,79,"5,652,310"
